Transaction Hash,Status,Method,BlockNo,DateTime (UTC),From,From_Nametag,To,To_Nametag,Amount ,Value (USD)
0x5beb9d82ff8ee30e6f777c6572a17a52db23ad30dae82e91f1ab500f6985f105,Success,Transfer,63792785,2025/10/7 13:31,0x893197c2e313557FBFbb3Ba748FbaFC371Db5D9A,,0x67Ac38141b12dC2a0431aB9Dffc6C396a67B6E96,,0,$0.00 
0x2471160b38179d269ff62a6331cc4e4ef25db08c3e60410ede313c73e3bde5c4,Success,Transfer,63635782,2025/10/6 4:49,0x893197c2e313557FBFbb3Ba748FbaFC371Db5D9A,,0x67acc0Cb2C960debcc06B815513854B627dD6e96,,923.82,$309.14 
0xca81b608c5567f03d983aeb630b4686928b33b8baed6fff269dfb36d02c50ca5,Success,Batch Claim Token,63635751,2025/10/6 4:48,0x8f0eb8903aaE4D170aaFb84f5FDb3805008Ab439,,0x893197c2e313557FBFbb3Ba748FbaFC371Db5D9A,,923.82,$309.14 
0xbcf382b518d03df7a1d9164f6c0073877d155b82a57b8d29608e47497ca71418,Success,Transfer,60157800,2025/9/6 0:00,0x893197c2e313557FBFbb3Ba748FbaFC371Db5D9A,,0x67acc0Cb2C960debcc06B815513854B627dD6e96,,923.82,$309.14 
0x46ed54124e7cd664eb8f309ca2d950835f7673cec4f9609f8b0658941b4eb57a,Success,Batch Claim Token,60157761,2025/9/6 0:00,0x8f0eb8903aaE4D170aaFb84f5FDb3805008Ab439,,0x893197c2e313557FBFbb3Ba748FbaFC371Db5D9A,,923.82,$309.14 
0xa5567e5c1a65874e2854faa0966d90f2cec301f275cb1e5afc7d55bcac84e324,Success,Transfer,56587243,2025/8/6 0:01,0x893197c2e313557FBFbb3Ba748FbaFC371Db5D9A,,0x67acc0Cb2C960debcc06B815513854B627dD6e96,,923.82,$309.14 
0x4c35ecc7b8ac02a22452f9ff1ca3378d91e5656189ad536ec00264032cd06555,Success,Batch Claim Token,56587174,2025/8/6 0:00,0x8f0eb8903aaE4D170aaFb84f5FDb3805008Ab439,,0x893197c2e313557FBFbb3Ba748FbaFC371Db5D9A,,923.82,$309.14 
0x83d291733e58b3e08ff138c760ff31be6011cf61aab5caf519cd62aad2af1338,Success,Transfer,55592820,2025/7/28 8:49,0x893197c2e313557FBFbb3Ba748FbaFC371Db5D9A,,0x67acc0Cb2C960debcc06B815513854B627dD6e96,,923.82,$309.14 
0xd3eba5b610b06cd296607674dcf6dcf5a9847c85453bbae54b7f007b2865b3ce,Success,Batch Claim Token,55592644,2025/7/28 8:47,0x8f0eb8903aaE4D170aaFb84f5FDb3805008Ab439,,0x893197c2e313557FBFbb3Ba748FbaFC371Db5D9A,,923.82,$309.14 
0x02e250cccd96d0000f3773bcc7b17805876bbcea2a81a2712e7c875e47098f43,Success,Transfer,51213915,2025/6/10 14:15,0x893197c2e313557FBFbb3Ba748FbaFC371Db5D9A,,0x67acc0Cb2C960debcc06B815513854B627dD6e96,,923.82,$309.14 
0x27829740c1ea3ac12b1505aa3465d45b8953c8b11afe947ad67eea85e23bd6d8,Success,Batch Claim Token,51213639,2025/6/10 14:09,0x8f0eb8903aaE4D170aaFb84f5FDb3805008Ab439,,0x893197c2e313557FBFbb3Ba748FbaFC371Db5D9A,,923.82,$309.14 
0xe3addfc4c03381b80e1f654e1a937f75d5f584c637885eb4f2b5ed4cdf504fdd,Success,Transfer,49194267,2025/5/6 12:27,0x893197c2e313557FBFbb3Ba748FbaFC371Db5D9A,,0x0AD6902A485f6Bb7EAE1c53fA8C984FC7eF773EA,,16379.62,"$5,481.08 "
0x90c30f34c6c99d210f52ab2168b9c62fb4b4795099e1c2a930a2b52fedc42f59,Success,Batch Claim Token,49193556,2025/5/6 12:10,0x8f0eb8903aaE4D170aaFb84f5FDb3805008Ab439,,0x893197c2e313557FBFbb3Ba748FbaFC371Db5D9A,,1979.62,$662.43 
0x7e747ca7e559511f0fd21aa83e280c23ca7b49471fabd8c1cf405116f368b1a7,Success,Transfer,24237174,2022/12/26 11:53,0xe2fc31f816a9b94326492132018c3aecc4a93ae1,Binance: Withdrawals 7,0x893197c2e313557fbfbb3ba748fbafc371db5d9a,,0.0195 BNB,$12.31 
