Transaction Hash,Blockno,UnixTimestamp,DateTime (UTC),From,To,ContractAddress,Amount,Value_OUT(BNB),CurrentValue @ $639.4838796074/BNB,TxnFee(BNB),TxnFee(USD),Historical $Price/BNB,Status,ErrCode,Method
0xfdc87f8509f954aed9451e0064ed3b9595f02d1de0b15eb948b7e1f662721c62,48487743,1745045417,2025/4/19 6:50,0xf5988713400da6fc8a58ec9515e2b0df9b40b115,0xa05eb62941a8c849be32e7ead82791d71babc970,,0.01,0,6.394838796,0.0000315,0.020143742,591.6,,,Transfer
0x73d1d305306697111075b76d8c254c001a5234c98e74b2fae1485a5625c907ce,48832971,1745992416,2025/4/30 5:53,0xf5988713400da6fc8a58ec9515e2b0df9b40b115,0xa05eb62941a8c849be32e7ead82791d71babc970,,0.006,0,3.836903278,0.00003465,0.022158116,599.87,,,Transfer
0x8e204ff91cc3b6f2450fbae9093cf6127012484b55f815e2a01b85b3dbf4f757,49203567,1746548430,2025/5/6 16:20,0xa05eb62941a8c849be32e7ead82791d71babc970,0x8f0eb8903aae4d170aafb84f5fdb3805008ab439,,0,0,0,0.000145206,0.092857056,602.71,,,Batch Claim Token
0x0ef8232ea7f495b29ec3e35356ac79f98f28bcb6bdd4fc9d14a6eba96a50b7d7,49204290,1746549515,2025/5/6 16:38,0xa05eb62941a8c849be32e7ead82791d71babc970,0xd82544bf0dfe8385ef8fa34d67e6e4940cc63e16,,0,0,0,8.76E-05,0.056002001,602.71,,,Approve
0x52cea1696e4885100a4c936e1c68c1ca16154c5f00ae3f2c59038dc2b6714e6c,49204293,1746549519,2025/5/6 16:38,0xa05eb62941a8c849be32e7ead82791d71babc970,0xd1ca1f4dbb645710f5d5a9917aa984a47524f49a,,0,0,0,0.000493885,0.315831496,602.71,,,Swap
0x488ccde8b4f5acdff25c7b50c562707fbbc53af833e936db64a65515d69e5c1e,49204372,1746549638,2025/5/6 16:40,0xa05eb62941a8c849be32e7ead82791d71babc970,0xd1ca1f4dbb645710f5d5a9917aa984a47524f49a,,0,0,0,0.000762994,0.487922203,602.71,,,Swap
0x538721caadfd2124ba02a79e0e33e4db96673eef92fca5ba25b816e44cb38deb,49204405,1746549687,2025/5/6 16:41,0xa05eb62941a8c849be32e7ead82791d71babc970,0x024e4ba184d9b90a1ade60925cd170250213cb98,,0,31.3,20015.84543,0.00002625,0.016786452,602.71,,,Transfer
0xdb96e9ccfad955aaea0f382137809dd2f83204eaa9671b12ec77d380bf902f75,51257068,1749629691,2025/6/11 8:14,0xa05eb62941a8c849be32e7ead82791d71babc970,0x8f0eb8903aae4d170aafb84f5fdb3805008ab439,,0,0,0,1.49E-05,0.009499981,667.63,,,Batch Claim Token
0x1e3ccb825a588368b896b29f4e14e675d59e45002ba8497632178b7f6404c3ff,52492778,1751367369,2025/7/1 10:56,0xa05eb62941a8c849be32e7ead82791d71babc970,0xd82544bf0dfe8385ef8fa34d67e6e4940cc63e16,,0,0,0,8.76E-06,0.0056002,646.5,,,Approve
0xd1f8107b595af3c9c98b8b73cc9622a2611c3c19090f9cfc96b3716884316905,52492783,1751367373,2025/7/1 10:56,0xa05eb62941a8c849be32e7ead82791d71babc970,0x0ba6d224169bbfad4eb2d38c500d2c8e8ede696c,,0,0,0,4.38E-05,0.027978779,646.5,,,Swap
0x9c70a1dc0c3e8c2f3621583cd17eca9b95732c32ffadca31a8d3cca129ace493,52493781,1751368122,2025/7/1 11:08,0xa05eb62941a8c849be32e7ead82791d71babc970,0xe726b6143d7b71b82b3cfa4044d3bb11d1f24675,,0,13.6,8696.980763,0.000002625,0.001678645,646.5,,,Transfer
0xa8c88a259e60c92064dd130c7a8d482d280c4ad2518374eea4d124f616c8ebf5,52691055,1751516090,2025/7/3 4:14,0xa05eb62941a8c849be32e7ead82791d71babc970,0xd82544bf0dfe8385ef8fa34d67e6e4940cc63e16,,0,0,0,8.76E-06,0.0056002,663.75,,,Approve
0xd6c193e08f2d498601165f6e125dba8329737f76d7127272ca678652ff236ea1,52691070,1751516101,2025/7/3 4:15,0xa05eb62941a8c849be32e7ead82791d71babc970,0x0ba6d224169bbfad4eb2d38c500d2c8e8ede696c,,0,0,0,4.83E-05,0.030903458,663.75,,,Swap
0x3d99429d3c39c29d7e3f45b76d5a047856a399ae63eddc9e67521edff16a8b58,52691093,1751516118,2025/7/3 4:15,0xa05eb62941a8c849be32e7ead82791d71babc970,0x0ba6d224169bbfad4eb2d38c500d2c8e8ede696c,,0,0,0,0.000046503,0.029737919,663.75,,,Swap
0xba20dc5eccb68ade6f77d95436c44786e2d19198e0ea234f749cd3dd7f1af3ec,52691117,1751516136,2025/7/3 4:15,0xa05eb62941a8c849be32e7ead82791d71babc970,0x0ba6d224169bbfad4eb2d38c500d2c8e8ede696c,,0,0,0,4.98E-05,0.031822317,663.75,,,Swap
0x05b92999eea3bfb432633b6f69e3e2e4692def8bc555e329bf45daa7618b29dc,52691149,1751516160,2025/7/3 4:16,0xa05eb62941a8c849be32e7ead82791d71babc970,0x0ba6d224169bbfad4eb2d38c500d2c8e8ede696c,,0,0,0,0.000046499,0.029735361,663.75,,,Swap
0x0207d3585b5e5aa638ccab5ce0a4f88f21fee0331d866f1cbb4a438bbd00aea6,52691167,1751516174,2025/7/3 4:16,0xa05eb62941a8c849be32e7ead82791d71babc970,0x0ba6d224169bbfad4eb2d38c500d2c8e8ede696c,,0,0,0,4.83E-05,0.030903138,663.75,,,Swap
0xdcf7c07265625f8233e41bd97d48d1a50f4f5db48347118b90c4a0490464d61c,52691281,1751516259,2025/7/3 4:17,0xa05eb62941a8c849be32e7ead82791d71babc970,0x0ba6d224169bbfad4eb2d38c500d2c8e8ede696c,,0,0,0,4.65E-05,0.029737439,663.75,,,Swap
0xa33364b079ede11ef0e27199772f4097b8972fb37965ef9dfd6d72fa6709a234,52691345,1751516307,2025/7/3 4:18,0xa05eb62941a8c849be32e7ead82791d71babc970,0x0ba6d224169bbfad4eb2d38c500d2c8e8ede696c,,0,0,0,5.35E-05,0.034186329,663.75,,,Swap
0xf53b387eae90856637122b79884d7849c650a95d58bf644e90cb71fc005ee881,52694923,1751518991,2025/7/3 5:03,0xa05eb62941a8c849be32e7ead82791d71babc970,0x124105ff4182b3c9955e43725b2935ceee6b9e3c,,0,170.1,108776.2079,0.000002625,0.001678645,663.75,,,Transfer
0x845ae78970af71a37cd038ccbcbbf64892fbbdad2bc821c183916bb46c79f439,53288394,1751964118,2025/7/8 8:41,0xa05eb62941a8c849be32e7ead82791d71babc970,0x0ba6d224169bbfad4eb2d38c500d2c8e8ede696c,,0,0,0,5.42E-05,0.034656349,660.7,,,Swap
0xf5f704e0bdc6695505b13dc47f8d9fb87cce374ebac763231047caf309375c23,53290433,1751965647,2025/7/8 9:07,0xa05eb62941a8c849be32e7ead82791d71babc970,0x6785c666e8caaa074d7eb94d4791d78e6de270bf,,0,91.6,58576.72337,0.000002625,0.001678645,660.7,,,Transfer
0x73988760405e6c1b8d7efc34f627bd3e50510aab52c3c424546b764e814df193,53504424,1752126150,2025/7/10 5:42,0xa05eb62941a8c849be32e7ead82791d71babc970,0x8f0eb8903aae4d170aafb84f5fdb3805008ab439,,0,0,0,1.49E-05,0.009499981,685.93,,,Batch Claim Token
0xf1448b9480e27c72649b333d49c1fcbd34b4c4f6d4533d463c8e312d06999429,64681102,1760510337,2025/10/15 6:38,0xa05eb62941a8c849be32e7ead82791d71babc970,0x8f0eb8903aae4d170aafb84f5fdb3805008ab439,,0,0,0,7.43E-06,0.00474999,1162.5,,,Batch Claim Token
0xf172f4bd83c137a4c1a6cb049374393eb5ffc2b8b8d67daaa8f87d34f80fbdc0,64681194,1760510406,2025/10/15 6:40,0xa05eb62941a8c849be32e7ead82791d71babc970,0x8f0eb8903aae4d170aafb84f5fdb3805008ab439,,0,0,0,7.43E-06,0.00474999,1162.5,,,Batch Claim Token
0xad9904be86204fc40740cecc6ce693d76587945fde7fca911f9ce915097ff97e,64681287,1760510475,2025/10/15 6:41,0xa05eb62941a8c849be32e7ead82791d71babc970,0x8f0eb8903aae4d170aafb84f5fdb3805008ab439,,0,0,0,7.43E-06,0.00474999,1162.5,,,Batch Claim Token
